x	z=1	z=2	z=3	z=4	z=5	z=6
0.0	11.0	10.0	9.0	8.0	7.0	6.0
0.045	11.45	10.92	9.85	8.75	7.66	6.57
0.09	11.88	11.86	10.77	9.58	8.38	7.19
0.135	12.31	12.83	11.77	10.5	9.18	7.87
0.18	12.72	13.83	12.85	11.5	10.07	8.63
0.225	13.12	14.84	14.0	12.6	11.05	9.48
0.27	13.5	15.88	15.24	13.81	12.14	10.44
0.315	13.86	16.91	16.55	15.13	13.36	11.5
0.36	14.19	17.93	17.93	16.57	14.73	12.69
0.405	14.5	18.96	19.36	18.14	16.22	14.05
0.45	14.76	19.96	20.85	19.8	17.87	15.55
0.495	14.98	20.9	22.35	21.55	19.69	17.26
0.54	15.13	21.79	23.84	23.4	21.63	19.12
0.585	15.24	22.57	25.25	25.25	23.68	21.16
0.63	15.24	23.22	26.56	27.09	25.77	23.3
0.675	15.15	23.66	27.73	28.81	27.88	25.56
0.72	14.93	23.9	28.69	30.41	29.92	27.83
0.765	14.57	23.96	29.37	31.69	31.77	30.04
0.81	14.1	23.63	29.63	32.68	33.25	32.01
0.855	13.43	23.16	29.55	33.13	34.41	33.65
0.9	12.73	22.42	29.07	33.25	35.15	34.96
