p	z=1	z=2	z=3	z=4	z=5	z=6	z=7	z=8	z=9	z=10
0.8	0.41589941269644637	0.20392850912716853	0.10324162253072988	0.05299784479695124	0.02741554005309743	0.014250610363794491	0.00743191273205146	0.0038850709098573466	0.0020345663201654096	0.001066952797483367
0.82	0.3733382508928814	0.16550198593776422	0.07582882501204125	0.0352390335974776	0.016504273106341838	0.007767551470408085	0.003667812619452815	0.0017360436212942032	0.0008231623369687746	0.00039084681192558257
0.84	0.33087559811371203	0.13088197931826318	0.05355901396367224	0.022236145225570603	0.009304821103354621	0.003912768275555423	0.0016508105400554474	0.0006981330447033418	0.0002957645420553767	0.0001254715376508564
0.86	0.288565464564678	0.10019715873764867	0.03602289177511331	0.013142475464066328	0.004833133280163215	0.0017861421245218834	0.0006622767871089508	0.0002461425956623575	9.164222596980132e-05	3.4165681801034964e-05
0.88	0.24645542888549765	0.07354147156103596	0.02273961538405156	0.007136706432000595	0.0022578264476849075	0.0007178331563035822	0.00022897603820437595	7.32107711094443e-05	2.3448523987501524e-05	7.520308572317447e-06
0.9	0.2045872739427823	0.05097789283933851	0.013172241678896524	0.0034552434664854026	0.0009136821879278667	0.00024280274536281343	6.473531692730017e-05	1.7299804186965417e-05	4.6311639726459575e-06	1.2414021748341497e-06
0.92	0.1629975655419471	0.03254194364892826	0.006741761812444125	0.0014181160452959585	0.00030072013979298706	6.408471846508501e-05	1.370156284752344e-05	2.9362367989227423e-06	6.30310057925243e-07	1.3548286337261572e-07
0.94	0.12171817795780326	0.01824496136212228	0.002839674115347801	0.00044880844040917633	7.15116364197188e-05	1.1450671062895879e-05	1.8395102733270718e-06	2.961907238363537e-07	4.7772258704448234e-08	7.715082794845785e-09
0.96	0.0807767702704093	0.00807711547776091	0.0008391007810476525	8.852983366702816e-05	9.416634507486421e-06	1.0065513981194485e-06	1.079408546988958e-07	1.1601815397277448e-08	1.2490903866790859e-09	1.3465295545245226e-10
0.98	0.0401972174494325	0.0020101701588703946	0.00010449341082108266	5.517044944336469e-06	2.936696569255659e-07	1.5708694900418152e-08	8.429907882856469e-10	4.534062014727169e-11	2.442601676477807e-12	1.318944953254686e-13
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
