q	Standard: P=q	Type I: P=Q(q)
0.0	0.0	0.0
0.02	0.02	0.0012081632653061227
0.04	0.04	0.004866666666666668
0.06	0.06	0.011029787234042554
0.08	0.08	0.019756521739130437
0.1	0.1	0.031111111111111114
0.12	0.12	0.045163636363636364
0.14	0.14	0.06199069767441861
0.16	0.16	0.08167619047619049
0.18	0.18	0.10431219512195121
0.2	0.2	0.13000000000000003
0.22	0.22	0.15885128205128204
0.24	0.24	0.19098947368421051
0.26	0.26	0.22655135135135138
0.28	0.28	0.2656888888888889
0.3	0.3	0.3085714285714286
0.32	0.32	0.3553882352941177
0.34	0.34	0.40635151515151524
0.36	0.36	0.46169999999999994
0.38	0.38	0.5217032258064517
0.4	0.4	0.5866666666666669
0.42	0.42	0.6569379310344825
0.44	0.44	0.7329142857142856
0.46	0.46	0.8150518518518518
0.48	0.48	0.9038769230769232
0.5	0.5	1
0.52	0.52	1
0.54	0.54	1
0.56	0.56	1
0.58	0.58	1
0.6	0.6	1
0.62	0.62	1
0.64	0.64	1
0.66	0.66	1
0.68	0.68	1
0.7	0.7	1
0.72	0.72	1
0.74	0.74	1
0.76	0.76	1
0.78	0.78	1
0.8	0.8	1
0.82	0.82	1
0.84	0.84	1
0.86	0.86	1
0.88	0.88	1
0.9	0.9	1
0.92	0.92	1
0.94	0.94	1
0.96	0.96	1
0.98	0.98	1
1.0	1.0	1
