z	z=1	z=2	z=3	z=4	z=5	z=6	z=7	z=8	z=9	z=10
0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%
2%	4.02%	0.201%	0.01%	0.001%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%
4%	8.078%	0.808%	0.084%	0.009%	0.001%	0.0%	0.0%	0.0%	0.0%	0.0%
6%	12.172%	1.824%	0.284%	0.045%	0.007%	0.001%	0.0%	0.0%	0.0%	0.0%
8%	16.3%	3.254%	0.674%	0.142%	0.03%	0.006%	0.001%	0.0%	0.0%	0.0%
10%	20.459%	5.098%	1.317%	0.346%	0.091%	0.024%	0.006%	0.002%	0.0%	0.0%
12%	24.646%	7.354%	2.274%	0.714%	0.226%	0.072%	0.023%	0.007%	0.002%	0.001%
14%	28.857%	10.02%	3.602%	1.314%	0.483%	0.179%	0.066%	0.025%	0.009%	0.003%
16%	33.088%	13.088%	5.356%	2.224%	0.93%	0.391%	0.165%	0.07%	0.03%	0.013%
18%	37.334%	16.55%	7.583%	3.524%	1.65%	0.777%	0.367%	0.174%	0.082%	0.039%
20%	41.59%	20.393%	10.324%	5.3%	2.742%	1.425%	0.743%	0.389%	0.203%	0.107%
22%	45.85%	24.599%	13.612%	7.635%	4.314%	2.45%	1.396%	0.797%	0.456%	0.261%
24%	50.106%	29.149%	17.467%	10.606%	6.487%	3.987%	2.458%	1.519%	0.941%	0.583%
26%	54.352%	34.016%	21.9%	14.28%	9.378%	6.188%	4.096%	2.717%	1.806%	1.202%
28%	58.578%	39.169%	26.904%	18.706%	13.097%	9.211%	6.499%	4.596%	3.256%	2.309%
30%	62.775%	44.572%	32.458%	23.913%	17.735%	13.211%	9.871%	7.392%	5.546%	4.166%
32%	66.931%	50.183%	38.524%	29.898%	23.353%	18.316%	14.409%	11.36%	8.971%	7.095%
34%	71.035%	55.953%	45.041%	36.628%	29.966%	24.613%	20.273%	16.734%	13.836%	11.454%
36%	75.072%	61.828%	51.932%	44.029%	37.537%	32.12%	27.559%	23.693%	20.401%	17.588%
38%	79.028%	67.746%	59.098%	51.986%	45.961%	40.772%	36.258%	32.304%	28.823%	25.748%
40%	82.886%	73.64%	66.417%	60.34%	55.063%	50.398%	46.23%	42.478%	39.083%	35.998%
42%	86.628%	79.436%	73.751%	68.891%	64.592%	60.716%	57.18%	53.928%	50.921%	48.126%
44%	90.233%	85.055%	80.946%	77.403%	74.232%	71.335%	68.655%	66.153%	63.802%	61.582%
46%	93.68%	90.413%	87.834%	85.61%	83.611%	81.776%	80.066%	78.457%	76.932%	75.479%
48%	96.944%	95.423%	94.243%	93.233%	92.332%	91.508%	90.741%	90.02%	89.336%	88.683%
50%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%
